순번,이름,주소,메모,위도,경도,등록일
70,"스시 윤슬","서울 서초구 서초대로 266 지하 1층 B101호 (서초동)","",37.49254885,127.01099122,"2025-05-25 22:10:20"
71,"자하손만두","서울 종로구 백석동길 12 지하1층 (부암동)","",37.59312126,126.96604447,"2025-05-26 12:21:43"
72,"멘츠루 시청점","서울 중구 서소문로11길 2 1층 1호 (서소문동)","",37.56301907,126.97311634,"2025-05-27 16:37:21"
73,"우작설렁탕","서울 서초구 서초중앙로6길 7 홍빌딩 지하1층 (서초동)","",37.48619796,127.01613718,"2025-05-29 22:53:42"
74,"엄용백돼지국밥","부산 수영구 수영로680번길 39 1층 (광안동)","",35.16622908,129.11723805,"2025-06-02 22:38:47"
75,"석암생소금구이 강남점","서울 강남구 봉은사로2길 21 반석빌딩 1-2층 (역삼동)","",37.50332251,127.02613843,"2025-06-03 19:43:32"
76,"달인김밥","부산 해운대구 반여로 67 상가동 101-B호 (반여동)","",35.19757511,129.12235495,"2025-06-10 18:48:41"
77,"옥고집","서울 관악구 인헌길 14 (봉천동)","",37.4749786,126.96668586,"2025-06-21 15:07:47"
78,"면미정","경기 수원시 영통구 센트럴파크로 6 힐스테이트 광교 상가동 2층 202호 (하동)","",37.28633484,127.06382279,"2025-06-23 12:51:22"
79,"띤띤익스프레스 고속터미널점","서울 서초구 신반포로 194 본관 1층 2호 (반포동)","",37.50543723,127.00555537,"2025-06-23 19:14:44"
80,"부일숯불갈비","서울 영등포구 영중로6길 23-8 1층 (영등포동3가)","",37.51814583,126.90863767,"2025-06-29 21:37:12"
81,"라까예","서울 중구 퇴계로85길 42 1층 (황학동)","",37.56762637,127.01975423,"2025-07-30 16:18:22"
82,"오이드킨","서울 중구 서애로1길 2 2층 (필동3가)","",37.56105434,126.99815287,"2025-08-03 11:21:51"
83,"김밥처럼","서울 영등포구 양평로22길 13 라이너빌딩 1층 (양평동5가)","",37.53890756,126.89453217,"2025-08-04 07:57:38"
84,"흥미면옥","서울 서초구 방배로 189 1층 (방배동)","",,,"2025-08-09 12:10:25"
85,"함흥냉면","서울 영등포구 영등포로42길 6 1층 (영등포동3가)","",37.5189661,126.90679058,"2025-08-09 15:36:31"
86,"수변최고돼지국밥 민락본점","부산 수영구 광안해변로370번길 9-32 1층 (민락동)","",,,"2025-08-10 17:52:28"
87,"우주돈가스","서울 서초구 방배로16길 6 (방배동)","",37.48447627,126.99622359,"2025-08-15 10:01:04"
88,"갯마을 한강로점","서울 용산구 서빙고로 56 1층 (한강로3가)","",37.52300323,126.97039762,"2025-08-15 10:43:26"
89,"갯마을","서울 서초구 서초대로54길 9-10 (서초동)","",37.49380964,127.01635593,"2025-08-15 10:43:47"
90,"도쿄빙수 이수지점","서울 동작구 동작대로27길 38 1층 103,104호 (사당동)","",37.48766781,126.97998643,"2025-08-17 11:16:25"
91,"오공일 충정로점","서울 중구 손기정로1길 38 1-4층 (중림동)","",37.55884622,126.96205804,"2025-08-17 16:44:38"
92,"이조식당","서울 중구 청파로103길 33 1층 (중림동)","",37.55765514,126.96831052,"2025-08-17 16:46:05"
93,"비에이글","서울 서대문구 충정로 24 1층 (충정로3가)","",37.561074,126.96371389,"2025-08-17 16:49:52"
94,"미가훠궈양고기","경기 용인시 수지구 풍덕천로140번길 15 미성빌딩 1층 (풍덕천동)","",37.32272036,127.0982015,"2025-08-21 12:20:00"
95,"상국이네","부산 해운대구 구남로41번길 40-1 1-3층 (중동)","",35.16201613,129.16287912,"2025-08-22 11:52:59"
96,"영동황제꽈배기","서울 강남구 학동로4길 32 1층 (논현동)","",37.50943545,127.02363871,"2025-08-22 22:31:23"
97,"양양불떡볶이 논현점","서울 강남구 학동로4길 32 1층 (논현동)","",37.50943546,127.02363418,"2025-08-22 22:31:43"
98,"보나블랑제리","서울 서초구 방배로26길 32 1층 (방배동)","",37.48952546,126.9946403,"2025-08-24 07:49:03"
99,"합천일류돼지국밥 사상점","부산 사상구 광장로 34 1층 (괘법동)","",35.16226298,128.98007871,"2025-08-25 10:59:40"
100,"뚜레쥬르 제일제당센터점","서울 중구 동호로 330 CJ제일제당빌딩 1층 (쌍림동)","",37.5638438,127.00302433,"2025-08-26 06:48:18"
101,"혜화칼국수","서울 종로구 창경궁로35길 13 1층 (혜화동)","",37.58657772,127.00150357,"2025-09-05 22:17:01"
102,"콩두주백 방배직영점","서울 서초구 방배로 215 (방배동)","",37.4923976,126.99037479,"2025-09-20 21:51:46"
103,"남영돈","서울 용산구 한강대로80길 17 1층 (남영동)","",37.54275036,126.97377539,"2025-09-27 23:10:17"
104,"서울깍두기 강남역삼점","서울 강남구 역삼로7길 17 네스빌 1층 103호 (역삼동)","",37.49532357,127.03261301,"2025-10-10 07:35:40"
105,"대감집","경기 성남시 분당구 판교역로 136 힐스테이트 101동 상가 1층 1090호 (백현동)","",37.39250677,127.11042995,"2025-10-16 07:18:43"
106,"서면밀면","부산 부산진구 서전로 25 1층 (전포동)","",35.15800376,129.06248909,"2025-10-31 16:37:33"
107,"구름떡","서울 서초구 방배로33길 21 1층 (방배동)","",37.49162988,126.98958787,"2025-11-04 22:31:49"
108,"정통코다리","서울 종로구 자하문로10길 14 1층 (통의동)","",37.57931965,126.97217311,"2026-01-25 20:32:42"
109,"아카루이","서울 서초구 방배로13길 19 진덕빌딩 1층 (방배동)","",37.48271027,126.99540057,"2026-01-31 20:18:04"
110,"탐라담 매봉역점","서울 강남구 논현로38길 34 1층 (도곡동)","",37.48540501,127.0444808,"2026-02-09 18:50:12"
111,"오츄카","서울 강남구 남부순환로 2734 중앙빌딩 1층 (도곡동)","",37.48583006,127.04506901,"2026-02-09 18:50:30"
112,"진미식당","서울 서초구 강남대로83길 18 1층 (반포동)","",37.50630381,127.02234839,"2026-02-19 12:33:21"
113,"속초751샌드위치 본점","강원특별자치도 속초시 교동로 75-1 1층 (교동)","",38.2056299,128.57670006,"2026-02-28 19:53:46"
114,"지유켄","서울 중구 수표로 42-7 1층 101호 (저동2가)","",37.56528142,126.99021601,"2026-04-07 09:07:10"
115,"소바하우스 멘야준","서울 마포구 월드컵북로6길 84 1층 (동교동)","",37.56000544,126.92258924,"2026-04-29 21:40:53"
116,"보데가캣","서울 중구 수표로6길 10 1층 (충무로3가)","",37.56272986,126.99095883,"2026-04-30 06:25:21"
117,"진성만두 망원본점","서울 마포구 월드컵로13길 9 1층 2호 (망원동)","",37.55558865,126.90975088,"2026-05-18 22:17:26"
