순번,이름,주소,메모,위도,경도,등록일
64,"본지르르 연희","서울 서대문구 연희로 189-16 (연희동)","",37.57406105,126.93462839,"2025-08-04 13:26:19"
65,"교토참치 영통매탄점","경기 수원시 영통구 인계로 261 1층 (매탄동)","",37.26408733,127.04621721,"2025-08-04 19:01:07"
66,"치즈플로 한남점","서울 용산구 이태원로49길 19 1층 (한남동)","",37.53697967,126.99943427,"2025-08-05 12:36:06"
67,"로코스 비비큐 경리단길본점","서울 용산구 회나무로 83 지층 (이태원동)","",37.54098723,126.99554183,"2025-08-05 12:36:25"
68,"도당근린공원 백만송이장미원","경기 부천시 원미구 도당동 산 25-5","",37.5165352,126.7922358,"2025-08-05 14:08:20"
69,"푸른수목원","서울 구로구 연동로 240 (항동)","",37.48398334,126.82541341,"2025-08-05 14:08:36"
70,"신구대학교식물원","경기 성남시 수정구 상적동 123-5","",37.43452178,127.08086993,"2025-08-05 14:08:51"
71,"미쁘동","서울 마포구 동교로38길 33-21 2층 (연남동)","",37.56210166,126.92619083,"2025-08-05 22:22:07"
72,"이대팔쭈꾸미 논현본점","서울 강남구 봉은사로1길 34 1층 103호 (논현동)","",37.50695574,127.02437986,"2025-08-08 18:26:29"
73,"저스티나","서울 마포구 양화진2길 31 1층 (합정동)","",37.54790934,126.9107967,"2025-08-08 18:56:33"
74,"향동가","서울 강남구 논현로136길 15 1층 (논현동)","",37.51629213,127.03126477,"2025-08-09 08:38:47"
75,"북촌전망대","서울 종로구 북촌로11다길 22-3 3층 (삼청동)","",37.58304818,126.9827596,"2025-08-10 12:38:59"
76,"국일순대국","서울 마포구 월드컵북로5길 22 국일빌딩 1층 (서교동)","",37.55708277,126.91750841,"2025-08-15 10:38:27"
77,"모닝캄커피랩 연남점","서울 마포구 성미산로 192 1층, B1층 (연남동)","",37.56281172,126.92630331,"2025-08-16 20:56:14"
78,"신선식당","부산 동구 조방로49번길 13 제일아파트 상가 1층 (범일동)","",35.13958413,129.0607867,"2025-08-17 07:31:44"
79,"트로페오비토리아","서울 관악구 승방3길 2 2층 (남현동)","",37.47355092,126.98070467,"2025-08-17 11:14:01"
